court_s,190
court_a,450
shuttle,30

1:s\a,0,1,2,3,4,5,6,7,8
0,0,"(220, 480)","(110, 240)","(70, 160)","(60, 120)","(40, 100)","(40, 80)","(30, 70)","(30, 60)"
1,"(220, 0)","(110, 240)","(70, 160)","(60, 120)","(40, 90)","(40, 80)","(30, 60)","(30, 60)","(20, 50)"
2,"(110, 0)","(70, 160)","(60, 120)","(40, 90)","(40, 70)","(30, 60)","(30, 50)","(20, 40)","(20, 40)"
3,"(70, 0)","(60, 120)","(40, 80)","(40, 60)","(30, 50)","(30, 40)","(20, 40)","(20, 30)","(20, 30)"
4,"(60, 0)","(40, 40)","(40, 40)","(30, 30)","(30, 30)","(20, 20)","(20, 20)","(20, 20)","(20, 20)"
5,"(40, 0)","(40, 40)","(30, 30)","(30, 30)","(20, 20)","(20, 20)","(20, 20)","(20, 20)","(20, 20)"
6,"(40, 0)","(30, 30)","(30, 30)","(20, 20)","(20, 20)","(20, 20)","(20, 20)","(20, 20)","(20, 20)"
7,"(30, 0)","(30, 30)","(20, 20)","(20, 20)","(20, 20)","(20, 20)","(20, 20)","(20, 20)","(10, 10)"
8,"(30, 0)","(20, 20)","(20, 20)","(20, 20)","(20, 20)","(20, 20)","(20, 20)","(10, 10)","(10, 10)"

2:s\a,0,1,2,3,4,5,6,7,8,9,10,11,12
0,0,0,0,0,0,"(90, 190)","(70, 160)","(60, 140)","(60, 120)","(50, 110)","(40, 100)","(40, 90)","(40, 80)"
1,0,0,0,0,"(90, 150)","(70, 150)","(60, 140)","(60, 120)","(50, 110)","(40, 90)","(40, 90)","(40, 80)","(30, 70)"
2,0,0,0,"(90, 150)","(70, 140)","(60, 130)","(60, 120)","(50, 100)","(40, 90)","(40, 80)","(40, 80)","(30, 70)","(30, 60)"
3,0,0,"(90, 150)","(70, 140)","(60, 130)","(60, 120)","(50, 100)","(40, 90)","(40, 80)","(40, 70)","(30, 70)","(30, 60)","(30, 60)"
4,0,"(90, 150)","(70, 140)","(60, 130)","(60, 120)","(50, 100)","(40, 90)","(40, 80)","(40, 70)","(30, 60)","(30, 60)","(30, 50)","(30, 50)"
5,"(90, 0)","(70, 140)","(60, 130)","(60, 120)","(50, 100)","(40, 80)","(40, 70)","(40, 60)","(30, 60)","(30, 50)","(30, 50)","(30, 50)","(30, 40)"
6,"(70, 0)","(60, 130)","(60, 120)","(50, 90)","(40, 80)","(40, 70)","(40, 60)","(30, 50)","(30, 50)","(30, 40)","(30, 40)","(30, 40)","(20, 40)"
7,"(60, 0)","(60, 120)","(50, 80)","(40, 70)","(40, 60)","(40, 50)","(30, 40)","(30, 40)","(30, 40)","(30, 30)","(30, 30)","(20, 30)","(20, 30)"
8,"(60, 0)","(50, 50)","(40, 40)","(40, 40)","(40, 40)","(30, 30)","(30, 30)","(30, 30)","(30, 30)","(30, 30)","(20, 20)","(20, 20)","(20, 20)"
9,"(50, 0)","(40, 40)","(40, 40)","(40, 40)","(30, 30)","(30, 30)","(30, 30)","(30, 30)","(30, 30)","(20, 20)","(20, 20)","(20, 20)","(20, 20)"
10,"(40, 0)","(40, 40)","(40, 40)","(30, 30)","(30, 30)","(30, 30)","(30, 30)","(30, 30)","(20, 20)","(20, 20)","(20, 20)","(20, 20)","(20, 20)"
11,"(40, 0)","(40, 40)","(30, 30)","(30, 30)","(30, 30)","(30, 30)","(30, 30)","(20, 20)","(20, 20)","(20, 20)","(20, 20)","(20, 20)","(20, 20)"
12,"(40, 0)","(30, 30)","(30, 30)","(30, 30)","(30, 30)","(30, 30)","(20, 20)","(20, 20)","(20, 20)","(20, 20)","(20, 20)","(20, 20)","(20, 20)"
